typedag,dienstnummer et,type,duur,start,einde,loop,intern loopnummer,lijn,var,rit,voertuig,vertrek,vertrek plaatscode,aankomst,aankomst plaatscode,afstand,AT,VT,dienstnummer
"23/0","VHO+2310","RIT","00u34","07u29","08u03","4502","4502U0653","881","02","10","standaard","Wingene Dorp","WINdor","Aalter Station","AATstn",18.351,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u20","08u03","08u23","4502","4502U0653",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"04u35","02u32","2310"
"23/0","VHO+2310","ONE","03u06","08u23","11u29",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","ATU","00u15","11u29","11u44",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u30","11u44","12u14","4609","4609U1144",,,,"geleed","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"04u35","02u32","2310"
"23/0","VHO+2310","RIT","00u30","12u14","12u44","4609","4609U1144","50","02a","460","geleed","Brugge Station","BGGstn","Maldegem Station","MDGstn",17.863,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u25","12u44","13u09","4609","4609U1144",,,,"geleed","Maldegem Station","MDGstn","Brugge Station","BGGstn",18.245,"04u35","02u32","2310"
"23/0","VHO+2310","STA","01u00","13u09","14u09",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","RIT","00u53","14u09","15u02","4609","4609U1144","50","02","610","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u35","02u32","2310"
"23/0","VHO+2310","STA","00u02","15u02","15u04",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","RIT","00u40","15u04","15u44","4609","4609U1144","50","04b","612","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u11","15u44","15u55","4609","4609U1144",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Zwijnaarde TP Civiele Techniek","ZWNtpc",4.772,"04u35","02u32","2310"
"23/0","VHO+2310","STA","00u29","15u55","16u24",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","RIT","00u59","16u24","17u23","4609","4609U1144","50","01","781","geleed","Zwijnaarde TP Civiele Techniek","ZWNtpc","Eeklo Station","EEKstn",26.742,"04u35","02u32","2310"
"23/0","VHO+2310","STA","00u02","17u23","17u25",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2310","RIT","00u59","17u25","18u24","4609","4609U1144","50","03","783","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"04u35","02u32","2310"
"23/0","VHO+2310","LED","00u30","18u24","18u54","4609","4609U1144",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"04u35","02u32","2310"
"23/0","VHO+2310","ANA","00u10","18u54","19u04",,,,,,,,,,,,"04u35","02u32","2310"
"23/0","VHO+2309","AVO","00u05","06u32","06u37",,,,,,,,,,,,"04u46","02u08","2309"
"31/0","VHO+4103","RIT","00u51","10u11","11u02","4602","4602U0511","50","02","290","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.903,"05u01","00u44","4103"
"31/0","VHO+4103","STA","00u02","11u02","11u04",,,,,,,,,,,,"05u01","00u44","4103"
"31/0","VHO+4103","RIT","00u40","11u04","11u44","4602","4602U0511","50","04b","292","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.452,"05u01","00u44","4103"
"31/0","VHO+4103","STA","00u35","11u44","12u19",,,,,,,,,,,,"05u01","00u44","4103"
"31/0","VHO+4103","RIT","00u38","12u19","12u57","4602","4602U0511","50","01a","411","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u01","00u44","4103"
"31/0","VHO+4103","LED","00u14","12u57","13u11","4602","4602U0511",,,,"geleed","Eeklo Station","EEKstn","Garage Van Hoorebeke","VHO276",9.9,"05u01","00u44","4103"
"31/0","VHO+4103","ANA","00u10","13u11","13u21",,,,,,,,,,,,"05u01","00u44","4103"
"31/0","VHO+4102","AVO","00u05","04u50","04u55",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","LED","00u05","04u55","05u00","4601","4601U0455",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmk2",3.502,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u59","05u00","05u59","4601","4601U0455","50","06","20","geleed","Maldegem Markt","MDGmk2","Gent Sint-Pietersstation","GNTs2a",34.109,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u23","05u59","06u22",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u35","06u22","06u57","4601","4601U0455","50","01a","61","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u02","06u57","06u59",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u52","06u59","07u51","4601","4601U0455","50","03","63","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.596,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u20","07u51","08u11",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u51","08u11","09u02","4601","4601U0455","50","02","170","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.903,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u02","09u02","09u04",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u40","09u04","09u44","4601","4601U0455","50","04b","172","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.452,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u34","09u44","10u18",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u38","10u18","10u56","4601","4601U0455","50","01a","291","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u27","00u35","4102"
"31/0","VHO+4102","STA","00u02","10u56","10u58",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4102","RIT","00u52","10u58","11u50","4601","4601U0455","50","03","293","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.596,"05u27","00u35","4102"
"31/0","VHO+4102","LED","00u30","11u50","12u20","4601","4601U0455",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"05u27","00u35","4102"
"31/0","VHO+4102","ANA","00u10","12u20","12u30",,,,,,,,,,,,"05u27","00u35","4102"
"31/0","VHO+4101","AVO","00u05","04u20","04u25",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","LED","00u05","04u25","04u30","4600","4600U0425",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmk2",3.502,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u59","04u30","05u29","4600","4600U0425","50","06","10","geleed","Maldegem Markt","MDGmk2","Gent Sint-Pietersstation","GNTs2a",34.109,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u25","05u29","05u54",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u35","05u54","06u29","4600","4600U0425","50","01a","41","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u02","06u29","06u31",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u50","06u31","07u21","4600","4600U0425","50","03","43","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.596,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u20","07u21","07u41",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u51","07u41","08u32","4600","4600U0425","50","02","140","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.903,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u02","08u32","08u34",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u40","08u34","09u14","4600","4600U0425","50","04b","142","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.452,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u41","09u14","09u55",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u38","09u55","10u33","4600","4600U0425","50","01a","261","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u25","00u35","4101"
"31/0","VHO+4101","STA","00u02","10u33","10u35",,,,,,,,,,,,"05u25","00u35","4101"
"31/0","VHO+4101","RIT","00u52","10u35","11u27","4600","4600U0425","50","03","263","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.596,"05u25","00u35","4101"
"31/0","VHO+4101","LED","00u30","11u27","11u57","4600","4600U0425",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"05u25","00u35","4101"
"31/0","VHO+4101","ANA","00u10","11u57","12u07",,,,,,,,,,,,"05u25","00u35","4101"
"23/0","VHO+2309","LED","00u02","06u37","06u39","4606","4606U0637",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Markt","MDGmkt",1.885,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","01u18","06u39","07u57","4606","4606U0637","871","01","41","geleed","Maldegem Markt","MDGmkt","Deinze Station","DEIstn",35.519,"04u46","02u08","2309"
"23/0","VHO+2309","LED","00u42","07u57","08u39","4606","4606U0637",,,,"geleed","Deinze Station","DEIstn","Garage Van Hoorebeke","VHO276",29.849,"04u46","02u08","2309"
"23/0","VHO+2309","ONE","02u43","08u39","11u22",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","ATU","00u15","11u22","11u37",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","LED","00u42","11u37","12u19","4508","4508U1137",,,,"standaard","Garage Van Hoorebeke","VHO276","Deinze Station","DEIstn",30.176,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","01u06","12u19","13u25","4508","4508U1137","871","02","150","standaard","Deinze Station","DEIstn","Maldegem Markt","MDGmkt",35.255,"04u46","02u08","2309"
"23/0","VHO+2309","LED","00u02","13u25","13u27","4508","4508U1137",,,,"standaard","Maldegem Markt","MDGmkt","Garage Van Hoorebeke","VHO276",0.414,"04u46","02u08","2309"
"23/0","VHO+2309","ONV","01u38","13u27","15u05",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","LED","00u20","15u05","15u25","4513","4513U1505",,,,"standaard","Garage Van Hoorebeke","VHO276","Aalter Station","AATstn",14.782,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","00u36","15u25","16u01","4513","4513U1505","884","01","111","standaard","Aalter Station","AATstn","Tielt Station","TLTstn",18.386,"04u46","02u08","2309"
"23/0","VHO+2309","STA","00u38","16u01","16u39",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","00u36","16u39","17u15","4513","4513U1505","884","02","130","standaard","Tielt Station","TLTstn","Aalter Station","AATstn",17.861,"04u46","02u08","2309"
"23/0","VHO+2309","STA","00u10","17u15","17u25",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","00u36","17u25","18u01","4513","4513U1505","884","01","141","standaard","Aalter Station","AATstn","Tielt Station","TLTstn",18.386,"04u46","02u08","2309"
"23/0","VHO+2309","STA","00u40","18u01","18u41",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2309","RIT","00u34","18u41","19u15","4513","4513U1505","884","02","170","standaard","Tielt Station","TLTstn","Aalter Station","AATstn",17.861,"04u46","02u08","2309"
"23/0","VHO+2309","LED","00u20","19u15","19u35","4513","4513U1505",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"04u46","02u08","2309"
"23/0","VHO+2309","ANA","00u10","19u35","19u45",,,,,,,,,,,,"04u46","02u08","2309"
"23/0","VHO+2308","AVO","00u05","06u32","06u37",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u42","06u37","07u19","4605","4605U0637",,,,"geleed","Garage Van Hoorebeke","VHO276","Drongen Rotonde","DROrot",25.662,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u41","07u19","08u00","4605","4605U0637","50","11","181","geleed","Drongen Rotonde","DROrot","Eeklo Watertoren","EEKwat",18.597,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u15","08u00","08u15","4605","4605U0637",,,,"geleed","Eeklo Watertoren","EEKwat","Garage Van Hoorebeke","VHO276",9.647,"04u20","03u31","2308"
"23/0","VHO+2308","ONE","03u25","08u15","11u40",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","ATU","00u15","11u40","11u55",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u14","11u55","12u09","4509","4509U1155",,,,"standaard","Garage Van Hoorebeke","VHO276","Eeklo Station","EEKstn",9.673,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u18","12u09","12u27","4509","4509U1155","631","01a","31","standaard","Eeklo Station","EEKstn","Watervliet Dorp","WTVdor",12.394,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u31","12u27","12u58","4509","4509U1155",,,,"standaard","Watervliet Dorp","WTVdor","Garage Van Hoorebeke","VHO276",20.3,"04u20","03u31","2308"
"23/0","VHO+2308","ONV","02u15","12u58","15u13",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u35","15u13","15u48","4514","4514U1513",,,,"standaard","Garage Van Hoorebeke","VHO276","Tielt Station","TLTstn",31,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u36","15u48","16u24","4514","4514U1513","884","02","110","standaard","Tielt Station","TLTstn","Aalter Station","AATstn",17.861,"04u20","03u31","2308"
"23/0","VHO+2308","STA","00u05","16u24","16u29",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u36","16u29","17u05","4514","4514U1513","884","01","121","standaard","Aalter Station","AATstn","Tielt Station","TLTstn",18.386,"04u20","03u31","2308"
"23/0","VHO+2308","STA","00u04","17u05","17u09",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u49","17u09","17u58","4514","4514U1513","883","02","140","standaard","Tielt Station","TLTstn","Aalter Station","AATstn",24.478,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u30","17u58","18u28","4514","4514U1513",,,,"standaard","Aalter Station","AATstn","Brugge Station","BGGstn",27.465,"04u20","03u31","2308"
"23/0","VHO+2308","STA","01u21","18u28","19u49",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u45","19u49","20u34","4514","4514U1513","50","02","1000","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u20","03u31","2308"
"23/0","VHO+2308","STA","00u02","20u34","20u36",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2308","RIT","00u35","20u36","21u11","4514","4514U1513","50","04b","1002","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"04u20","03u31","2308"
"23/0","VHO+2308","LED","00u44","21u11","21u55","4514","4514U1513",,,,"standaard","Gent Sint-Pietersstation","GNTs2a","Garage Van Hoorebeke","VHO276",36.848,"04u20","03u31","2308"
"23/0","VHO+2308","ANA","00u10","21u55","22u05",,,,,,,,,,,,"04u20","03u31","2308"
"23/0","VHO+2307","AVO","00u05","06u29","06u34",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","LED","00u14","06u34","06u48","4604","4604U0634",,,,"geleed","Garage Van Hoorebeke","VHO276","Eeklo Station","EEKstn",9.673,"04u15","02u48","2307"
"23/0","VHO+2307","RIT","00u56","06u48","07u44","4604","4604U0634","50","03","111","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"04u15","02u48","2307"
"23/0","VHO+2307","LED","00u30","07u44","08u14","4604","4604U0634",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"04u15","02u48","2307"
"23/0","VHO+2307","ONE","03u42","08u14","11u56",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","ATU","00u15","11u56","12u11",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","LED","00u30","12u11","12u41","4614","4614U1211",,,,"geleed","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"04u15","02u48","2307"
"23/0","VHO+2307","RIT","00u53","12u41","13u34","4614","4614U1211","50","02","510","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u15","02u48","2307"
"23/0","VHO+2307","STA","00u02","13u34","13u36",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","RIT","00u40","13u36","14u16","4614","4614U1211","50","04b","512","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"04u15","02u48","2307"
"23/0","VHO+2307","LED","00u50","14u16","15u06","4614","4614U1211",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Brugge Station","BGGstn",45.637,"04u15","02u48","2307"
"23/0","VHO+2307","STA","00u31","15u06","15u37",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","RIT","01u01","15u37","16u38","4614","4614U1211","50","02","700","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u15","02u48","2307"
"23/0","VHO+2307","STA","00u02","16u38","16u40",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2307","RIT","00u45","16u40","17u25","4614","4614U1211","50","04b","702","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"04u15","02u48","2307"
"23/0","VHO+2307","LED","00u44","17u25","18u09","4614","4614U1211",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Garage Van Hoorebeke","VHO276",36.848,"04u15","02u48","2307"
"23/0","VHO+2307","ANA","00u10","18u09","18u19",,,,,,,,,,,,"04u15","02u48","2307"
"23/0","VHO+2306","AVO","00u05","06u23","06u28",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","LED","00u03","06u28","06u31","4603","4603U0628",,,,"geleed","Garage Van Hoorebeke","VHO276","Maldegem Station","MDGstn",1.387,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","00u29","06u31","07u00","4603","4603U0628","50","03a","81","geleed","Maldegem Station","MDGstn","Brugge Station","BGGstn",17.919,"04u54","00u28","2306"
"23/0","VHO+2306","STA","00u05","07u00","07u05",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","00u56","07u05","08u01","4603","4603U0628","50","02","120","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u54","00u28","2306"
"23/0","VHO+2306","STA","00u02","08u01","08u03",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","01u02","08u03","09u05","4603","4603U0628","50","04a","122","geleed","Eeklo Station","EEKstn","Zwijnaarde TP Civiele Techniek","ZWNtpc",27.415,"04u54","00u28","2306"
"23/0","VHO+2306","LED","00u11","09u05","09u16","4603","4603U0628",,,,"geleed","Zwijnaarde TP Civiele Techniek","ZWNtpc","Gent Sint Pietersstation","GNTs1a",3.759,"04u54","00u28","2306"
"23/0","VHO+2306","STA","01u02","09u16","10u18",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","00u40","10u18","10u58","4603","4603U0628","50","01a","351","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"04u54","00u28","2306"
"23/0","VHO+2306","STA","00u02","10u58","11u00",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","00u54","11u00","11u54","4603","4603U0628","50","03","353","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"04u54","00u28","2306"
"23/0","VHO+2306","STA","00u22","11u54","12u16",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2306","RIT","00u53","12u16","13u09","4603","4603U0628","50","02","470","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"04u54","00u28","2306"
"23/0","VHO+2306","LED","00u14","13u09","13u23","4603","4603U0628",,,,"geleed","Eeklo Station","EEKstn","Garage Van Hoorebeke","VHO276",9.9,"04u54","00u28","2306"
"23/0","VHO+2306","ANA","00u10","13u23","13u33",,,,,,,,,,,,"04u54","00u28","2306"
"23/0","VHO+2305","AVO","00u05","05u56","06u01",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u41","06u01","06u42","4602","4602U0601",,,,"geleed","Garage Van Hoorebeke","VHO276","Gent Sint Pietersstation","GNTs1a",30.075,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","00u36","06u42","07u18","4602","4602U0601","50","01a","91","geleed","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"05u34","02u20","2305"
"23/0","VHO+2305","STA","00u02","07u18","07u20",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","01u03","07u20","08u23","4602","4602U0601","50","03","93","geleed","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u30","08u23","08u53","4602","4602U0601",,,,"geleed","Brugge Station","BGGstn","Garage Van Hoorebeke","VHO276",17,"05u34","02u20","2305"
"23/0","VHO+2305","ONE","02u54","08u53","11u47",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","ATU","00u15","11u47","12u02",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u17","12u02","12u19","4511","4511U1202",,,,"standaard","Garage Van Hoorebeke","VHO276","Aalter Europalaan","AATeur",15.555,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","00u38","12u19","12u57","4511","4511U1202","871","02a","10","standaard","Aalter Europalaan","AATeur","Maldegem Markt","MDGmkt",19.449,"05u34","02u20","2305"
"23/0","VHO+2305","STA","00u08","12u57","13u05",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","00u32","13u05","13u37","4511","4511U1202","871","01c","151","standaard","Maldegem Markt","MDGmkt","Aalter Station","AATstn",17.081,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u20","13u37","13u57","4511","4511U1202",,,,"standaard","Aalter Station","AATstn","Garage Van Hoorebeke","VHO276",14.096,"05u34","02u20","2305"
"23/0","VHO+2305","ONV","02u09","13u57","16u06",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u30","16u06","16u36","4615","4615U1606",,,,"geleed","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","01u02","16u36","17u38","4615","4615U1606","50","02","790","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"05u34","02u20","2305"
"23/0","VHO+2305","STA","00u02","17u38","17u40",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","00u43","17u40","18u23","4615","4615U1606","50","04b","792","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"05u34","02u20","2305"
"23/0","VHO+2305","STA","00u31","18u23","18u54",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2305","RIT","01u00","18u54","19u54","4615","4615U1606","50","07","961","geleed","Gent Sint Pietersstation","GNTs1a","Maldegem Markt","MDGmkt",33.707,"05u34","02u20","2305"
"23/0","VHO+2305","LED","00u02","19u54","19u56","4615","4615U1606",,,,"geleed","Maldegem Markt","MDGmkt","Garage Van Hoorebeke","VHO276",0.414,"05u34","02u20","2305"
"23/0","VHO+2305","ANA","00u10","19u56","20u06",,,,,,,,,,,,"05u34","02u20","2305"
"23/0","VHO+2304","AVO","00u05","05u54","05u59",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u41","05u59","06u40","4601","4601U0559",,,,"geleed","Garage Van Hoorebeke","VHO276","Gent Sint Pietersstation","GNTs1a",30.075,"03u04","02u46","2304"
"23/0","VHO+2304","RIT","00u32","06u40","07u12","4601","4601U0559","801","01a","11","geleed","Gent Sint Pietersstation","GNTs1a","Nevele Stelplaats","NEVstl",16.053,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u06","07u12","07u18","4601","4601U0559",,,,"geleed","Nevele Stelplaats","NEVstl","Lotenhulle Guldensporenplein","LOHgul",6.195,"03u04","02u46","2304"
"23/0","VHO+2304","STA","00u15","07u18","07u33",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","RIT","00u34","07u33","08u07","4601","4601U0559","883","01","31","geleed","Lotenhulle Guldensporenplein","LOHgul","Tielt Station","TLTstn",17.804,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u35","08u07","08u42","4601","4601U0559",,,,"geleed","Tielt Station","TLTstn","Garage Van Hoorebeke","VHO276",31,"03u04","02u46","2304"
"23/0","VHO+2304","ONE","02u54","08u42","11u36",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","ATU","00u15","11u36","11u51",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u14","11u51","12u05","4612","4612U1151",,,,"geleed","Garage Van Hoorebeke","VHO276","Eeklo Station","EEKstn",9.673,"03u04","02u46","2304"
"23/0","VHO+2304","RIT","00u25","12u05","12u30","4612","4612U1151","50","03b","461","geleed","Eeklo Station","EEKstn","Maldegem Markt","MDGmkt",11.26,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u26","12u30","12u56","4612","4612U1151",,,,"geleed","Maldegem Markt","MDGmkt","Brugge Station","BGGstn",17.547,"03u04","02u46","2304"
"23/0","VHO+2304","STA","00u15","12u56","13u11",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","RIT","00u53","13u11","14u04","4612","4612U1151","50","02","550","geleed","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"03u04","02u46","2304"
"23/0","VHO+2304","STA","00u02","14u04","14u06",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2304","RIT","00u40","14u06","14u46","4612","4612U1151","50","04b","552","geleed","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"03u04","02u46","2304"
"23/0","VHO+2304","LED","00u44","14u46","15u30","4612","4612U1151",,,,"geleed","Gent Sint-Pietersstation","GNTs2a","Garage Van Hoorebeke","VHO276",36.848,"03u04","02u46","2304"
"23/0","VHO+2304","ANA","00u10","15u30","15u40",,,,,,,,,,,,"03u04","02u46","2304"
"23/0","VHO+2303","AVO","00u05","05u03","05u08",,,,,,,,,,,,"06u16","01u00","2303"
"23/0","VHO+2303","LED","00u30","05u08","05u38","4501","4501U0508",,,,"standaard","Garage Van Hoorebeke","VHO276","Brugge Station","BGGstn",17,"06u16","01u00","2303"
"23/0","VHO+2303","RIT","00u46","05u38","06u24","4501","4501U0508","50","02","30","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"06u16","01u00","2303"
"23/0","VHO+2303","STA","00u02","06u24","06u26",,,,,,,,,,,,"06u16","01u00","2303"
"23/0","VHO+2303","RIT","00u39","06u26","07u05","4501","4501U0508","50","04b","32","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"06u16","01u00","2303"
"23/0","VHO+2303","STA","00u09","07u05","07u14",,,,,,,,,,,,"06u16","01u00","2303"
